2000	1	37	33	28	25	20	17	0
2001	2	37	33	28	25	20	17	0
2002	3	37	33	28	25	20	17	0
2003	1	37	33	28	25	20	17	0
2004	2	37	33	28	25	20	17	0
2005	1	37	33	28	25	20	17	0
2006	2	37	33	28	25	20	17	0
2007	3	37	33	28	25	20	17	0
2008	3	37	33	28	25	20	17	0
2009	1	37	33	28	25	20	17	0
2010	3	37	33	28	25	20	17	0
2011	2	37	33	28	25	20	17	0
2012	1	37	33	28	25	20	17	0
2013	3	37	33	28	25	20	17	0
2014	2	37	33	28	25	20	17	0
2015	1	37	33	28	25	20	17	0
2016	2	37	33	28	25	20	17	0
2017	2	37	33	28	25	20	17	0
2018	2	37	33	28	25	20	17	0
