2005	1	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2006	3	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2007	2	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2008	3	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2009	1	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2010	2	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2011	1	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2012	2	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2013	1	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2014	1	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2015	3	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2016	2	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2017	3	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
2018	3	1	2	3	1	2	4	3	2	1	3	2	1	4	2	3	1	3	4	3	2	1	3	4	1	3	1	4	2	3	1	4	3	1	4	3	2	4	3	2	1
